,,,,,,,
,pouchitis2015.1,GSM1591238,,,,,
,pouchitis2015.2,GSM1591242,,,,,
,pouchitis2015.3,GSM1591243,,,,,
,pouchitis2015.4,GSM1591244,,,,,
,pouchitis2015.5,GSM1591245,,,,,
,pouchitis2015.6,GSM1591246,,,,,
,pouchitis2015.7,GSM1591247,,,,,
,pouchitis2015.8,GSM1591248,,,,,
,pouchitis2015.9,GSM1591249,,,,,
,pouchitis2015.10,GSM1591250,,,,,
,pouchitis2015.11,GSM1591251,,,,,
,pouchitis2015.12,GSM1591253,,,,,
,pouchitis2015.13,GSM1591256,,,,,
,pouchitis2015.14,GSM1591258,,,,,
,pouchitis2015.15,GSM1591261,,,,,
,pouchitis2015.16,GSM1591264,,,,,
,pouchitis2015.17,GSM1591266,,,,,
,pouchitis2015.18,GSM1591269,,,,,
,pouchitis2015.19,GSM1591273,,,,,
,pouchitis2015.20,GSM1591278,,,,,
,pouchitis2015.21,GSM1591280,,,,,
,pouchitis2015.22,GSM1591283,,,,,
,pouchitis2015.23,GSM1591284,,,,,
,pouchitis2015.24,GSM1591285,,,,,
,pouchitis2015.25,GSM1591286,,,,,
,pouchitis2015.26,GSM1591288,,,,,
,pouchitis2015.27,GSM1591291,,,,,
,pouchitis2015.28,GSM1591292,,,,,
,pouchitis2015.29,GSM1591294,,,,,
,pouchitis2015.30,GSM1591297,,,,,
,pouchitis2015.31,GSM1591299,,,,,
,pouchitis2015.32,GSM1591300,,,,,
,pouchitis2015.33,GSM1591301,,,,,
,pouchitis2015.34,GSM1591302,,,,,
,pouchitis2015.35,GSM1591303,,,,,
,pouchitis2015.36,GSM1591306,,,,,
,pouchitis2015.37,GSM1591307,,,,,
,pouchitis2015.38,GSM1591308,,,,,
,pouchitis2015.39,GSM1591309,,,,,
,pouchitis2015.40,GSM1591310,,,,,
,pouchitis2015.41,GSM1591311,,,,,
,pouchitis2015.42,GSM1591312,,,,,
,pouchitis2015.43,GSM1591313,,,,,
,pouchitis2015.44,GSM1591314,,,,,
,pouchitis2015.45,GSM1591315,,,,,
,pouchitis2015.46,GSM1591316,,,,,
,pouchitis2015.47,GSM1591317,,,,,
,pouchitis2015.48,GSM1591318,,,,,
,pouchitis2015.49,GSM1591319,,,,,
,pouchitis2015.50,GSM1591320,,,,,
,pouchitis2015.51,GSM1591321,,,,,
,pouchitis2015.52,GSM1591322,,,,,
,pouchitis2015.53,GSM1591323,,,,,
,pouchitis2015.54,GSM1591324,,,,,
,pouchitis2015.55,GSM1591325,,,,,
,pouchitis2015.56,GSM1591326,,,,,
,pouchitis2015.57,GSM1591327,,,,,
,pouchitis2015.58,GSM1591328,,,,,
,pouchitis2015.59,GSM1591329,,,,,
,pouchitis2015.60,GSM1591330,,,,,
,pouchitis2015.61,GSM1591331,,,,,
,pouchitis2015.62,GSM1591332,,,,,
,pouchitis2015.63,GSM1591333,,,,,
,pouchitis2015.64,GSM1591334,,,,,
,pouchitis2015.65,GSM1591335,,,,,
,pouchitis2015.66,GSM1591336,,,,,
,pouchitis2015.67,GSM1591337,,,,,
,pouchitis2015.68,GSM1591338,,,,,
,pouchitis2015.69,GSM1591339,,,,,
,pouchitis2015.70,GSM1591340,,,,,
,pouchitis2015.71,GSM1591341,,,,,
,pouchitis2015.72,GSM1591342,,,,,
,pouchitis2015.73,GSM1591343,,,,,
,pouchitis2015.74,GSM1591344,,,,,
,pouchitis2015.75,GSM1591345,,,,,
,pouchitis2015.76,GSM1591346,,,,,
,pouchitis2015.77,GSM1591347,,,,,
,pouchitis2015.78,GSM1591348,,,,,
,pouchitis2015.79,GSM1591349,,,,,
,pouchitis2015.80,GSM1591350,,,,,
,pouchitis2015.81,GSM1591351,,,,,
,pouchitis2015.82,GSM1591352,,,,,
,pouchitis2015.83,GSM1591353,,,,,
,pouchitis2015.84,GSM1591354,,,,,
,pouchitis2015.85,GSM1591355,,,,,
,pouchitis2015.86,GSM1591356,,,,,
,pouchitis2015.87,GSM1591357,,,,,
,pouchitis2015.88,GSM1591358,,,,,
,pouchitis2015.89,GSM1591359,,,,,
,pouchitis2015.90,GSM1591360,,,,,
,pouchitis2015.91,GSM1591361,,,,,
,pouchitis2015.92,GSM1591362,,,,,
,pouchitis2015.93,GSM1591363,,,,,
,pouchitis2015.94,GSM1591364,,,,,
,pouchitis2015.95,GSM1591365,,,,,
,pouchitis2015.96,GSM1591366,,,,,
,pouchitis2015.97,GSM1591367,,,,,
,pouchitis2015.98,GSM1591368,,,,,
,pouchitis2015.99,GSM1591369,,,,,
,pouchitis2015.100,GSM1591370,,,,,
,pouchitis2015.101,GSM1591371,,,,,
,pouchitis2015.102,GSM1591372,,,,,
,pouchitis2015.103,GSM1591373,,,,,
,pouchitis2015.104,GSM1591374,,,,,
,pouchitis2015.105,GSM1591375,,,,,
,pouchitis2015.106,GSM1591376,,,,,
,pouchitis2015.107,GSM1591377,,,,,
,pouchitis2015.108,GSM1591378,,,,,
,pouchitis2015.109,GSM1591379,,,,,
,pouchitis2015.110,GSM1591380,,,,,
,pouchitis2015.111,GSM1591381,,,,,
,pouchitis2015.112,GSM1591382,,,,,
,pouchitis2015.113,GSM1591383,,,,,
,pouchitis2015.114,GSM1591384,,,,,
,pouchitis2015.115,GSM1591385,,,,,
,pouchitis2015.116,GSM1591386,,,,,
,pouchitis2015.117,GSM1591387,,,,,
,pouchitis2015.118,GSM1591388,,,,,
,pouchitis2015.119,GSM1591389,,,,,
,pouchitis2015.120,GSM1591390,,,,,
,pouchitis2015.121,GSM1591391,,,,,
,pouchitis2015.122,GSM1591392,,,,,
,pouchitis2015.123,GSM1591393,,,,,
,pouchitis2015.124,GSM1591394,,,,,
,pouchitis2015.125,GSM1591395,,,,,
,pouchitis2015.126,GSM1591396,,,,,
,pouchitis2015.127,GSM1591397,,,,,
,pouchitis2015.128,GSM1591398,,,,,
,pouchitis2015.129,GSM1591400,,,,,
,pouchitis2015.130,GSM1591401,,,,,
,pouchitis2015.131,GSM1591403,,,,,
,pouchitis2015.132,GSM1591405,,,,,
,pouchitis2015.133,GSM1591406,,,,,
,pouchitis2015.134,GSM1591407,,,,,
,pouchitis2015.135,GSM1591408,,,,,
,pouchitis2015.136,GSM1591409,,,,,
,pouchitis2015.137,GSM1591411,,,,,
